"StudyID","Who","Population","Sex","HDL_Chol","SerumLevel","Age_LL","Age","Age_UL","Mean_Age","SD","N","N_Assumed","SL_SD","SL_SE","SL_Units","HDL_SD","HDL_Units","NonHDL_C","NonH_Units","LDL_Chol","LDL_SD","LDL_Units","Hypercholesterolemia_Prev","Triglyceride_Chol","Triglyceride_SD","Triglyceride_Units","Apo_A1","AA_Units","ApoB","ApoB_SD","AB_Units","Lp_a","Lpa_Units","Population_pop","Who_pop","Article_link","CrudeName","EthnicGroup","EthnicGroup_Notes","Subpopulation","Other_Classification","Location","Biome","Country","Lattitude","Longitude","Region","Sedentary","AcculturationLevel","ReferenceSource","SerumLevel_mg_dL","SL_SD_mg_dL","SL_SE_mg_dL","HDL_Chol_mg_dL","HDL_SD_mg_dL","LDL_Chol_mg_dL","LDL_SD_mg_dL","Triglyceride_Chol_mg_dL","Triglyceride_SD_mg_dL","Ancestry","Heritability","ANCESTRY","study_ID_Ancestry"
"MAP1-B","Claire","Urban Mapuche","F",0.89,NA,"20","20-60","60","37.6","11.1","79","N",NA,NA,"",0.49,"mmol/L",NA,"",3.58,1.59,"mmol/L",NA,1.35,0.71,"mmol/L",NA,"",NA,"","",NA,"","Mapuche","Claire","MAP1","Mapuche","Mapuche","urban cities of Santiago, Valdivia, Temuco and Concepcion in Chile’s R.M, XIV, IX, and VIII regions, respectively","Urban Mapuche","Urban","Chile","Temperate shrubland/forest","Chile","","","Sourth America",NA,"Integrated","""""The Effects of Genes, Environment and Ethnicity on Insulin Resistance and Obesity in Aboriginal and Non-Aboriginal South American Populations""""",NA,NA,NA,34.4163,18.9483,138.4386,61.4853,119.5695,62.8847,NA,NA,NA,NA
"MAP1-C","Claire","Rural Chile w/ European Descent","M",1.01,NA,"20","20-60","60","41.1","12.7","36","N",NA,NA,"",0.46,"mmol/L",NA,"",3.18,1.41,"mmol/L",NA,1.27,0.63,"mmol/L",NA,"",NA,"","",NA,"","Chilean's with European Descent Rural","Claire","MAP1","European Chilean","Chilean's with European Desccent","Rural settings outside the cities of Concepcion and Valdivia in Chile’s VIII, and XIV regions, respectively","Rural Chile w/ European Descent","Rural","Chile","Temperate shrubland/forest","Chile","","","South America",NA,"Isolated","""""The Effects of Genes, Environment and Ethnicity on Insulin Resistance and Obesity in Aboriginal and Non-Aboriginal South American Populations""""",NA,NA,NA,39.0567,17.7882,122.9706,54.5247,112.4839,55.7991,NA,NA,NA,NA
"MAP1-C","Claire","Rural Chile w/ European Descent","F",0.92,NA,"20","20-60","60","40.7","14.3","55","N",NA,NA,"",0.36,"mmol/L",NA,"",3.26,1.44,"mmol/L",NA,1.17,0.49,"mmol/L",NA,"",NA,"","",NA,"","Chilean's with European Descent Rural","Claire","MAP1","European Chilean","Chilean's with European Desccent","Rural settings outside the cities of Concepcion and Valdivia in Chile’s VIII, and XIV regions, respectively","Rural Chile w/ European Descent","Rural","Chile","Temperate shrubland/forest","Chile","","","South America",NA,"Isolated","""""The Effects of Genes, Environment and Ethnicity on Insulin Resistance and Obesity in Aboriginal and Non-Aboriginal South American Populations""""",NA,NA,NA,35.5764,13.9212,126.0642,55.6848,103.6269,43.3993,NA,NA,NA,NA
"MAP1-D","Claire","Urban Chile w/ European Descents","M",0.93,NA,"20","20-60","60","34.5","14.5","42","N",NA,NA,"",0.42,"mmol/L",NA,"",3.15,1.33,"mmol/L",NA,1.35,0.78,"mmol/L",NA,"",NA,"","",NA,"","Chilean's with European Descent Urban","Claire","MAP1","European Chilean","Chilean's with European Desccent","Santiago, Valdivia, Temuco and Concepcion; Chile’s R.M, XIV, IX, and VIII regions, respectively","Urban Chile w/ European Descents","Urban","Chile","temperate shrubland/forest","Chile","","","South America",NA,"Integrated","""""The Effects of Genes, Environment and Ethnicity on Insulin Resistance and Obesity in Aboriginal and Non-Aboriginal South American Populations""""",NA,NA,NA,35.9631,16.2414,121.8105,51.4311,119.5695,69.0846,NA,NA,NA,NA
"MAP1-D","Claire","Urban Chile w/ European Descents","F",0.88,NA,"20","20-60","60","38.9","11.3","92","N",NA,NA,"",0.33,"mmol/L",NA,"",3.42,1.29,"mmol/L",NA,1.18,0.74,"mmol/L",NA,"",NA,"","",NA,"","Chilean's with European Descent Urban","Claire","MAP1","European Chilean","Chilean's with European Desccent","Santiago, Valdivia, Temuco and Concepcion; Chile’s R.M, XIV, IX, and VIII regions, respectively","Urban Chile w/ European Descents","Urban","Chile","temperate shrubland/forest","Chile","","","South America",NA,"Integrated","""""The Effects of Genes, Environment and Ethnicity on Insulin Resistance and Obesity in Aboriginal and Non-Aboriginal South American Populations""""",NA,NA,NA,34.0296,12.7611,132.2514,49.8843,104.5126,65.5418,NA,NA,NA,NA
"MEL1-A","Phoebe","Melanesian","F",NA,3.96,"","","","36.2","6.7","23","N",0.88,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.61,0.25,"mM",NA,"",NA,"","",NA,"","Melanesian","Pheobe","MEl1","Melanesian","Melanesian","","","","Efate","tropical and subtropical moist broadleaf forests","Vanuatu","-17.6577","168.4297","Pacific Ocean",NA,NA,"Blood Pressures in Three New Hebrides Communities",153.1332,34.0296,NA,NA,NA,NA,NA,0.61,0.25,NA,NA,"Melanesian","MEL1-A"
"MEL1-A","Phoebe","Melanesian","M",NA,3.64,"","","","33.8","11.4","86","N",0.86,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.63,0.19,"mM",NA,"",NA,"","",NA,"","Melanesian","Pheobe","MEl1","Melanesian","Melanesian","","","","Efate","tropical and subtropical moist broadleaf forests","Vanuatu","-17.6577","168.4297","Pacific Ocean",NA,NA,"Blood Pressures in Three New Hebrides Communities",140.7588,33.2562,NA,NA,NA,NA,NA,0.63,0.19,NA,NA,"Melanesian","MEL1-A"
"MEL1-B","Phoebe","Melanesian","F",NA,3.78,"","","","39","10.8","49","N",1.09,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.6,0.38,"mM",NA,"",NA,"","",NA,"","Melanesian","Pheobe","MEl1","Melanesian","Melanesian","","","","Maskelynes","tropical and subtropical moist broadleaf forests","Vanuatu","-16.302","167.5161","Pacific Ocean",NA,"Unacculturated","Blood Pressures in Three New Hebrides Communities",146.1726,42.1503,NA,NA,NA,NA,NA,0.6,0.38,NA,NA,"Melanesian","MEL1-A"
"MEL1-B","Phoebe","Melanesian","M",NA,3.57,"","","","45.8","12.4","33","N",1.29,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.6,0.18,"mM",NA,"",NA,"","",NA,"","Melanesian","Pheobe","MEl1","Melanesian","Melanesian","","","","Maskelynes","tropical and subtropical moist broadleaf forests","Vanuatu","-16.302","167.5161","Pacific Ocean",NA,"Unacculturated","Blood Pressures in Three New Hebrides Communities",138.0519,49.8843,NA,NA,NA,NA,NA,0.6,0.18,NA,NA,"Melanesian","MEL1-A"
"MEL2-A","Claire","Urban Melanesian people","F",NA,3.96,"18","18<","","36.2","6.7","23","N",0.88,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.61,0.25,"mmol/L",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.1332,34.0296,NA,NA,NA,NA,NA,54.0277,22.1425,NA,NA,"Melanesian","MEL2-A"
"MEL2-A","Claire","Urban Melanesian people","M",NA,3.64,"18","18<","","33.8","11.4","86","N",0.86,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.63,0.19,"mmol/L",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.7588,33.2562,NA,NA,NA,NA,NA,55.7991,16.8283,NA,NA,"Melanesian","MEL2-A"
"MEL2-B","Claire","Rural Melanesian people","M",NA,3.57,"18","18<","","45.8","12.4","22","N",1.29,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.6,0.18,"mmol/L",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.0519,49.8843,NA,NA,NA,NA,NA,53.142,15.9426,NA,NA,"Melanesian","MEL2-B"
"MEL2-B","Claire","Rural Melanesian people","F",NA,3.87,"18","18<","","39","10.8","49","N",1.09,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,0.6,0.38,"mmol/L",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.6529,42.1503,NA,NA,NA,NA,NA,53.142,33.6566,NA,NA,"Melanesian","MEL2-B"
"MEX2","EM","Mexican","F",40.1,177.31,"18","","","52.4","16.8","1809","N",39.4,NA,"mg/dL",12.9,"mg/dL",NA,"",NA,NA,"",NA,185.9,104.3,"mg/dL",NA,"",NA,"","",NA,"","Mexican Amerindian","EM","MEX2","Mexican","Mexican Amerindian","73 indigenous communities from 60 diff ethnic groups","","","Mexico","","Mexico","23","-102","North America",NA,"Semi-acculturated","""""Metabolic syndrome in indigenous communities in Mexico: a descriptive and cross-sectional study"""" Mendoza-Caamal et. al",177.31,39.4,NA,40.1,12.9,NA,NA,185.9,104.3,NA,NA,"Mexican_indegenous_communities","MEX2"
"MEX2","EM","Mexican","M",37.9,177.5,"18","","","45.9","15.8","787","N",39.6,NA,"mg/dL",12.6,"mg/dL",NA,"",NA,NA,"",NA,196.3,117.8,"mg/dL",NA,"",NA,"","",NA,"","Mexican Amerindian","EM","MEX2","Mexican","Mexican Amerindian","73 indigenous communities from 60 diff ethnic groups","","","Mexico","","Mexico","23","-102","North America",NA,"Semi-acculturated","""""Metabolic syndrome in indigenous communities in Mexico: a descriptive and cross-sectional study"""" Mendoza-Caamal et. al",177.5,39.6,NA,37.9,12.6,NA,NA,196.3,117.8,NA,NA,"Mexican_indegenous_communities","MEX2"
"MEX2-A","Phoebe","Mexican","M",44,155.5,"35","35-65","65","49",NA,"76","N",NA,NA,"mg/dL",NA,"mg/dL",NA,"",102.7,NA,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.5,NA,NA,44,NA,102.7,NA,NA,NA,NA,NA,"Mexican_indegenous_communities","MEX2"
"MEX2-B","Phoebe","Mexican","M",39.3,NA,"35","35-65","65","49.3",NA,"63","N",NA,NA,"",NA,"mg/dL",NA,"",115,NA,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,NA,115,NA,NA,NA,NA,NA,"Mexican_indegenous_communities","MEX2"
"MEX2-C","Phoebe","Mexican","M",43.9,NA,"35","35-65","65","49.3",NA,"118","N",NA,NA,"",NA,"mg/dL",NA,"",119,NA,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9,NA,119,NA,NA,NA,NA,NA,"Mexican_indegenous_communities","MEX2"
"MEX2-D","Phoebe","Mexican","M",40,NA,"35","35-65","65","49.3",NA,"68","N",NA,NA,"",NA,"mg/dL",NA,"",126.8,NA,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,126.8,NA,NA,NA,NA,NA,"Mexican_indegenous_communities","MEX2"
"MRW1","Gisele","Marwari","F",44.25,NA,"12","12+","",NA,NA,"180","N",NA,NA,"",NA,"mg/dL",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Marwari","Gisele","MRW1","Marwari","Marwari","","","","Calcutta, West Bengal ","Tropical rainforest","India","22.5726","88.3639","Asia",NA,"Integrated","An Epidemiological Study of Blood Pressure and Lipid Levels Among Marwaris of Calcutta, India.",NA,NA,NA,44.25,NA,NA,NA,NA,NA,NA,NA,"Indian","MRW1"
"MRW1","Gisele","Marwari","F",NA,171.18,"12","12+","",NA,NA,"306","N",NA,2.344,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Marwari","Gisele","MRW1","Marwari","Marwari","","","","Calcutta, West Bengal ","Tropical rainforest","India","22.5726","88.3639","Asia",NA,"Integrated","An Epidemiological Study of Blood Pressure and Lipid Levels Among Marwaris of Calcutta, India.",171.18,NA,2.344,NA,NA,NA,NA,NA,NA,NA,NA,"Indian","MRW1"
"MRW1","Gisele","Marwari","M",NA,NA,"12","12+","",NA,NA,"349","N",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,122.957,NA,"mg/dL",NA,"",NA,"","",NA,"","Marwari","Gisele","MRW1","Marwari","Marwari","","","","Calcutta, West Bengal ","Tropical rainforest","India","22.5726","88.3639","Asia",NA,"Integrated","An Epidemiological Study of Blood Pressure and Lipid Levels Among Marwaris of Calcutta, India.",NA,NA,NA,NA,NA,NA,NA,122.957,NA,NA,NA,"Indian","MRW1"
"MRW1","Gisele","Marwari","F",NA,NA,"12","12+","",NA,NA,"305","N",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,110.816,NA,"mg/dL",NA,"",NA,"","",NA,"","Marwari","Gisele","MRW1","Marwari","Marwari","","","","Calcutta, West Bengal ","Tropical rainforest","India","22.5726","88.3639","Asia",NA,"Integrated","An Epidemiological Study of Blood Pressure and Lipid Levels Among Marwaris of Calcutta, India.",NA,NA,NA,NA,NA,NA,NA,110.816,NA,NA,NA,"Indian","MRW1"
"MRW1","Gisele","Marwari","M",41.064,NA,"12","12+","",NA,NA,"219","N",NA,NA,"",NA,"mg/dL",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Marwari","Gisele","MRW1","Marwari","Marwari","","","","Calcutta, West Bengal ","Tropical rainforest","India","22.5726","88.3639","Asia",NA,"Integrated","An Epidemiological Study of Blood Pressure and Lipid Levels Among Marwaris of Calcutta, India.",NA,NA,NA,41.064,NA,NA,NA,NA,NA,NA,NA,"Indian","MRW1"
"MRW1","Gisele","Marwari","M",NA,176.864,"12","12+","",NA,NA,"353","N",NA,2.607,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Marwari","Gisele","MRW1","Marwari","Marwari","","","","Calcutta, West Bengal ","Tropical rainforest","India","22.5726","88.3639","Asia",NA,"Integrated","An Epidemiological Study of Blood Pressure and Lipid Levels Among Marwaris of Calcutta, India.",176.864,NA,2.607,NA,NA,NA,NA,NA,NA,NA,NA,"Indian","MRW1"
"MUR1-A","Claire","Urban/Rural Mura (no hypertension)","M/F",NA,183.7,"18","18<","","37.91","14.7","334","N",28.6,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,151.5,99.8,"mg/dL",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.7,28.6,NA,NA,NA,NA,NA,151.5,99.8,NA,NA,"SA_Indegenous","MUR1-A"
"MUR1-B","Claire","Urban/rural Mura (yes hypertension)","M/F",NA,197.5,"18","18<","","53.66","16.63","121","N",39,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,196.7,111.3,"mg/dL",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.5,39,NA,NA,NA,NA,NA,196.7,111.3,NA,NA,NA,NA
"NAM1","Phoebe","Namibian","M/F",NA,4.4,"","","","36.9","13.4","1714","N",0.7,NA,"mmol/L",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Namibian","Phoebe","","Namibian","Namibian","","","urban","Sub-Saharan Africa","savannah","Namibian","-22.9576","18.4904","Africa",NA,"Integrated","Hypertension in Sub-Saharan Africa: Cross-Sectional Surveys in Four Rural and Urban Communities",170.148,27.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South_African","NAM1"
"NAN1-A","KIKI","Nangapandans (Helminth infected)","M/F",1.5,4.9,"18","18+","","45",NA,"446","N",1.1,NA,"mmol/L",0.4,"mmol/L",NA,"",3.1,1,"mmol/L",NA,1.3,0.7,"mmol/L",NA,"",NA,"","",NA,"","Nangapandan","KIKI","","Nangapanda inhabits","Manggarai","based on location","","(Helminth infected)","Flores Island","Tropical Rainforest","Indonesia","-7","121","Asia","Yes","Semi-acculturated","(Wiria, et al) Relationship between Carotid Intima Media Thicknessand Helminth Infections on Flores Island, Indonesia",189.483,42.537,NA,58.005,15.468,119.877,38.67,115.141,61.999,NA,NA,"Austronesian","NAN1-A"
"NAN1-B","KIKI","Nangapandans (not infected)","M/F",1.6,5.1,"18","18+","","44.8",NA,"229","N",1.2,NA,"mmol/L",0.4,"mmol/L",NA,"",3.3,1.1,"mmol/L",NA,1.2,0.7,"mmol/L",NA,"",NA,"","",NA,"","Nangapandan","Kiki","","Nangapanda inhabits","Manggarai","based on location","","(not infected)","Flores Island","Tropical Rainforest","Indonesia","-7","121","Asia","Yes","Semi-acculturated","(Wiria, et al) Relationship between Carotid Intima Media Thicknessand Helminth Infections on Flores Island, Indonesia",197.217,46.404,NA,61.872,15.468,127.611,42.537,106.284,61.999,NA,NA,"Austronesian","NAN1-B"
"NGA1","Victoria","Nganasan","M",33,112,"17","17-19","19",NA,NA,"","",NA,NA,"mg/dL",NA,"mg/dL",NA,"",69,NA,"mg/dL",NA,53,NA,"mg/dL",NA,"",NA,"","",NA,"","Nganasan","Victoria","SIB1","Nganasan","Nganasan","","","","Taimyr Peninsula","Tundra","","72-73.83","90","Siberia",NA,"Unacculturated","""""Metabolic Adaptation in Indigenous Siberian Populations""""",112,NA,NA,33,NA,69,NA,53,NA,NA,NA,"Siberian","NGA1"
"NGA1","Victoria","Nganasan","M",33,135,"20","20-29","20",NA,NA,"","",NA,NA,"mg/dL",NA,"mg/dL",NA,"",91,NA,"mg/dL",NA,58,NA,"mg/dL",NA,"",NA,"","",NA,"","Nganasan","Victoria","SIB1","Nganasan","Nganasan","","","","Taimyr Peninsula","Tundra","","72-73.83","90","Siberia",NA,"Unacculturated","""""Metabolic Adaptation in Indigenous Siberian Populations""""",135,NA,NA,33,NA,91,NA,58,NA,NA,NA,"Siberian","NGA1"
"NGA1","Victoria","Nganasan","M",33,159,"40","40-49","49",NA,NA,"","",NA,NA,"mg/dL",NA,"mg/dL",NA,"",107,NA,"mg/dL",NA,98,NA,"mg/dL",NA,"",NA,"","",NA,"","Nganasan","Victoria","SIB1","Nganasan","Nganasan","","","","Taimyr Peninsula","Tundra","","72-73.83","90","Siberia",NA,"Unacculturated","""""Metabolic Adaptation in Indigenous Siberian Populations""""",159,NA,NA,33,NA,107,NA,98,NA,NA,NA,"Siberian","NGA1"
"NGA1","Victoria","Nganasan","M",37,159,"30","30-39","39",NA,NA,"","",NA,NA,"mg/dL",NA,"mg/dL",NA,"",112,NA,"mg/dL",NA,49,NA,"mg/dL",NA,"",NA,"","",NA,"","Nganasan","Victoria","SIB1","Nganasan","Nganasan","","","","Taimyr Peninsula","Tundra","","72-73.83","90","Siberia",NA,"Unacculturated","""""Metabolic Adaptation in Indigenous Siberian Populations""""",159,NA,NA,37,NA,112,NA,49,NA,NA,NA,"Siberian","NGA1"
"NIA1-A","EM","Moslem","M",NA,118.8,"","","","28.8","8.8","23","N",43.9,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","EM","NIA1","Nigerian","Nigerian","referred to as Moslem tribe","peasant farmers and labouring classes","","Northern Nigeria","Savanna","Nigeria","11.3","8.4","Africa",NA,NA,"""""The beta-lipoprotein and cholesterol concentrations in sera of Nigerians"""" Mann et. al",118.8,43.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West_African","NIA1-A"
"NIA1-B","EM","Ibo","M",NA,129.9,"","","","29.2","11.9","14","N",40.9,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","EM","NIA1","Nigerian","Nigerian","referred to as Ibo tribe","peasant farmers and labouring classes","","Eastern Nigeria","Temperate Shrubland","Nigeria","9.7","12.3","Africa",NA,NA,"""""The beta-lipoprotein and cholesterol concentrations in sera of Nigerians"""" Mann et. al",129.9,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West_African","NIA1-B"
"NIA1-C","EM","Nigerian","M",NA,119.9,"","","","29.9","13.2","9","N",33.7,NA,"mg/dL",NA,"",NA,"",NA,NA,"",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","EM","NIA1","Nigerian","Nigerian","""""pagan tribes of the Middle Belt""""","peasant farmers and labouring classes","","Middle Belt of Nigeria","Temperate Shrubland","Nigeria","9.25","7.87","Africa",NA,NA,"""""The beta-lipoprotein and cholesterol concentrations in sera of Nigerians"""" Mann et. al",119.9,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","F",62.4,174.4,"22","22-44","44",NA,NA,"26","Y",75.1,NA,"mg/dL",34.6,"mg/dL",NA,"",83.6,67.1,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",174.4,75.1,NA,62.4,34.6,83.6,67.1,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","F",77.6,228.6,"55","55-64","64",NA,NA,"26","Y",75.6,NA,"mg/dL",32.5,"mg/dL",NA,"",116.8,75.5,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",228.6,75.6,NA,77.6,32.5,116.8,75.5,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","F",85.2,252.4,"45","45-54","54",NA,NA,"26","Y",87.1,NA,"mg/dL",14.9,"mg/dL",NA,"",130.1,79.1,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",252.4,87.1,NA,85.2,14.9,130.1,79.1,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","F",91.2,255.1,"65",">65","",NA,NA,"26","Y",58.3,NA,"mg/dL",20,"mg/dL",NA,"",121.5,72,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",255.1,58.3,NA,91.2,20,121.5,72,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","M",71.3,190.1,"22","22-44","44",NA,NA,"23","Y",64.9,NA,"mg/dL",32,"mg/dL",NA,"",90.7,63.4,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",190.1,64.9,NA,71.3,32,90.7,63.4,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","M",84.9,258.2,"55","55-64","64",NA,NA,"23","Y",101.5,NA,"mg/dL",30.5,"mg/dL",NA,"",140.1,98.2,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",258.2,101.5,NA,84.9,30.5,140.1,98.2,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","M",91.2,219.9,"45","45-54","54",NA,NA,"23","Y",76.8,NA,"mg/dL",27.7,"mg/dL",NA,"",96.4,82.5,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",219.9,76.8,NA,91.2,27.7,96.4,82.5,NA,NA,NA,NA,"West_African","NIA1-C"
"NIG3","West_African","Nigerian","M",96.6,260,"65",">65","",NA,NA,"23","Y",108,NA,"mg/dL",25,"mg/dL",NA,"",131.3,110.1,"mg/dL",NA,NA,NA,"",NA,"",NA,"","",NA,"","Nigerian","Phoebe","","Nigerian","Nigerian","","","","Umuahia","Swamp forest","Nigeria","4.98","8.34","Africa",NA,NA,"Obesity, metabolic syndrome and BMI-metabolic-risk sub-phenotypes_ A study of an adult Nigerian population",260,108,NA,96.6,25,131.3,110.1,NA,NA,NA,NA,"West_African","NIA1-C"
"NOR1-A","Ashley","Sami I","F",1.39,NA,"36","36-49","49",NA,NA,"241","Y",NA,NA,"",NA,"mmol/L",NA,"",NA,NA,"",NA,1.3,NA,"mmol/L","1.33","mmol/L","1.01","","mmol/L",NA,"","Sami","Ashley","NOR1","Sami I","Sami I","Sami used as a home language by all members of family","","","Norway","tundra","Norway","60.472","8.4689","Europe","Yes","Semi-acculturated","""""Distribution of APOB/APOA-I ratio and blood lipids in Sami, Kven, and Norwegian populations: the Saminor study"""" Nystad et. al.",NA,NA,NA,53.7513,NA,NA,NA,115.141,NA,NA,NA,NA,NA
"NOR1-A","Ashley","Sami I","F",1.45,NA,"50","50-64","64",NA,NA,"241","Y",NA,NA,"",NA,"mmol/L",NA,"",NA,NA,"",NA,1.45,NA,"mmol/L","1.41","mmol/L","1.11","","mmol/L",NA,"","Sami","Ashley","NOR1","Sami I","Sami I","Sami used as a home language by all members of family","","","Norway","tundra","Norway","60.472","8.4689","Europe","Yes","Semi-acculturated","""""Distribution of APOB/APOA-I ratio and blood lipids in Sami, Kven, and Norwegian populations: the Saminor study"""" Nystad et. al.",NA,NA,NA,56.0715,NA,NA,NA,128.4265,NA,NA,NA,NA,NA
"NOR1-A","Ashley","Sami I","F",1.54,NA,"65","65-79","79",NA,NA,"241","Y",NA,NA,"",NA,"mmol/L",NA,"",NA,NA,"",NA,1.46,NA,"mmol/L","1.46","mmol/L","1.1","","mmol/L",NA,"","Sami","Ashley","NOR1","Sami I","Sami I","Sami used as a home language by all members of family","","","Norway","tundra","Norway","60.472","8.4689","Europe","Yes","Semi-acculturated","""""Distribution of APOB/APOA-I ratio and blood lipids in Sami, Kven, and Norwegian populations: the Saminor study"""" Nystad et. al.",NA,NA,NA,59.5518,NA,NA,NA,129.3122,NA,NA,NA,NA,NA
