Who,StudyID,Population,Sex,Age_LL,Age,Age_UL,Mean_Age,SD,N,N_Assumed ,SerumLevel,SL_SD,SL_SE,SL_Units,HDL_Chol,HDL_SD,HDL_Units,NonHDL_C,NonH_Units,LDL_Chol,LDL_SD,LDL_Units,Hypercholesterolemia_Prev,Triglyceride_Chol,Triglyceride_SD,Triglyceride_Units,Apo_A1,AA_Units,ApoB,ApoB_SD,AB_Units,Lp_a,Lpa_Units,,,
Claire,FIN2-E,Finns,M,50,50-59,59,257,,772,Y,281,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,M,60,60-69,69,257,,772,Y,275,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,M,70,70<,,257,,772,Y,295,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,F,15,15-19,19,255,,879,Y,203,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,F,20,20-29,29,255,,879,Y,237,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,F,30,30-39,39,255,,879,Y,243,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,F,40,40-49,49,255,,879,Y,263,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,F,50,50-59,59,255,,879,Y,286,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,F,60,60-69,69,255,,879,Y,286,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-E,Finns,F,70,70<,,255,,879,Y,285,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,M,15,15-19,19,259,,1309,Y,211,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,M,20,20-29,29,259,,1309,Y,233,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,M,30,30-39,39,259,,1309,Y,263,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,M,40,40-49,49,259,,1309,Y,276,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,M,50,50-59,59,259,,1309,Y,281,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,M,60,60-69,69,259,,1309,Y,284,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,M,70,70<,,259,,1309,Y,,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,F,15,15-19,19,262,,447,Y,213,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,F,20,20-29,29,262,,447,Y,233,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,F,30,30-39,39,262,,447,Y,245,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,F,40,40-49,49,262,,447,Y,271,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,F,50,50-59,59,262,,447,Y,299,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,F,60,60-69,69,262,,447,Y,303,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-F,Finns,F,70,70<,,262,,447,Y,,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,M,15,15-19,19,261,,1571,Y,213,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,M,20,20-29,29,261,,1571,Y,234,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,M,30,30-39,39,261,,1571,Y,263,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,M,40,40-49,49,261,,1571,Y,282,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,M,50,50-59,59,261,,1571,Y,286,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,M,60,60-69,69,261,,1571,Y,273,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,M,70,70<,,261,,1571,Y,,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,F,15,15-19,19,267,,353,Y,250,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,F,20,20-29,29,267,,353,Y,240,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,F,30,30-39,39,267,,353,Y,254,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,F,40,40-49,49,267,,353,Y,276,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,F,50,50-59,59,267,,353,Y,295,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,F,60,60-69,69,267,,353,Y,312,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
Claire,FIN2-G,Finns,F,70,70<,,267,,353,Y,,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
FION,FUL1,Fulani,M,18,18-64,64,,,42,N,3.5,0.8,,mmol/L,0.88,0.27,mmol/L,,,1.84,0.7,mmol/L,,1.62,0.89,mmol/L,,,,,,,,,,
FION,FUL1,Fulani,F,15,15-77,77,,,79,N,3.5,0.73,,mmol/L,1.07,0.27,mmol/L,,,1.88,0.52,mmol/L,,1.19,0.54,mmol/L,,,,,,,,,,
Phoebe ,FUL2,Fulani,M,,,,,,41,N,136,31.3,,mg/dL,33.9,10.8,mg/dl,,,71,26.5,mg/dl,,143,79.2,mg/dl,,,,,,,,"Total cholesterol (end-point colorimetric), HDL(Kodak Vitros Cholesterol slides), Triglycerides (Vitros Analyzer)",,
Ashley,FUL3,Fulani,M,,,,41.9,14,122,N,,,,,1.35,0.26,mmol/L,,,1.6,0.8,mmol/L,,1.17,0.43,mmol/L,,,,,,,,,,
Ashley,FUL3,Fulani,F,,,,37.8,14.5,92,N,,,,,1.39,0.3,mmol/L,,,1.9,0.7,mmol/L,,1.18,0.45,mmol/L,,,,,,,,,,
Phoebe,GAM1-A,Gambian,M,,,,31.7,14.8,1028,N,4.1,1.1,,mmol/L,,,,,,,,,0.68,,0.39,mmol/L,,,,,,,,"a centrifugal biochemical ana- lyser (Cobas Fara, Roche, UK",,
Phoebe,GAM1-A,Gambian,F,,,,33.7,15.9,1138,N,4.6,1.2,,mmol/L,,,,,,,,,0.68,,0.44,mmol/L,,,,,,,,"a centrifugal biochemical ana- lyser (Cobas Fara, Roche, UK",,
Phoebe,GAM1-B,Gambian,M,,,,38.5,18.4,1200,N,3.6,0.9,,mmol/L,,,,,,,,,0.81,,0.37,mmol/L,,,,,,,,"a centrifugal biochemical ana- lyser (Cobas Fara, Roche, UK",,
Phoebe,GAM1-B,Gambian,F,,,,37.2,16.4,2023,N,3.9,0.9,,mmol/L,,,,,,,,,0.76,,0.37,mmol/L,,,,,,,,"a centrifugal biochemical ana- lyser (Cobas Fara, Roche, UK",,
Phoebe,GHA3,Ghanaians,F,,,,54.8,11.5,589,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe,GHA3,Ghanaians,M,,,,54.5,10.7,355,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe,GHA4,Ghanaian,M,56,56-74,74,,,94,N,3.04,,,mmol/L,,,,,,,,,0.8,,,mmol/l,,,0.54,,g/l,,,Measurements for triglyc- erides and total cholesterol were performed by colorimetric assays (Roche Modular P800),,
Phoebe,GHA4,Ghanaian,F,56,56-74,74,,,172,N,3.24,,,mmol/L,,,,,,,,,0.95,,,mmol/l,,,0.58,,g/l,,,Measurements for triglyc- erides and total cholesterol were performed by colorimetric assays (Roche Modular P800),,
Ashley,GHA6,Ghanaians,M,40,40+,,,,150,N,,,,,1.4,0.4,mmol/L,,,2.9,1,mmol/L,,1.1,0.7,mmol/L,,,,,,,,,,
Ashley,GHA6,Ghanaians,F,40,40+,,,,10,N,,,,,1.4,0.2,mmol/L,,,3.4,0.8,mmol/L,,0.9,0.3,mmol/L,,,,,,,,,,
Emily,GHA9-A,Urban Ashanti,M/F,20,20+,,49,,312,N,5,,,mmol/L,1,,mmol/l,,,3.4,,mmol/l,,1.2,,mmol/l,,,,,,,,,,
Emily,GHA9-B,Rural Ashanti,M/F,20,20+,,50,,360,N,4.8,,,mmol/L,1,,mmol/l,,,3.1,,mmol/l,,1.35,,mmol/l,,,,,,,,,,
FION,GRIN1,Greenland Inuit,M,18,18+,,,,278,Y,,,,,1.52,,mmol/L,,,3.77,,mmol/L,,1.17,,mmol/L,,,,,,,,,,
FION,GRIN1,Greenland Inuit,F,18,18+,,,,278,Y,,,,,1.69,,mmol/L,,,3.51,,mmol/L,,1.12,,mmol/L,,,,,,,,,,
EM,GUA1-A,Maya,M,20,20-29,29,,,13,N,139,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-A,Maya,M,30,30-39,39,,,34,N,143,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-A,Maya,M,40,40-49,49,,,18,N,144,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-A,Maya,M,50,50-59,59,,,16,N,136,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-A,Maya,F,20,20-29,29,,,22,N,147,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-A,Maya,F,40,40-49,49,,,11,N,172,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-A,Maya,F,50,50-59,59,,,9,N,138,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-A ,Maya,F,30,30-39,39,,,15,N,156,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,M,20,20-29,29,,,21,N,172,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,M,30,30-39,39,,,38,N,210,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,M,40,40-49,49,,,22,N,186,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,M,50,50-59,59,,,8,N,210,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,F,20,20-29,29,,,20,N,172,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,F,30,30-39,39,,,24,N,200,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,F,40,40-49,49,,,16,N,208,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
EM,GUA1-B,Guatemalan,F,50,50-59,59,,,10,N,222,,,mg/dL,,,,,,,,,,,,,,,,,,,,Method: Abell et. al,,
Victoria,GUA2-A,Guatemalan,M,19.4,19.4-29.5,29.5,,,103,N,,,,,0.98,0.18,mmol/l,,,2.3,0.62,mmol/l,,1.41,0.75,mmol/l,,,,,,,,solid-phase enzymatic reactions; Friedewald's equation; solid-phase azidemethaemoglobin method,,
Victoria,GUA2-A,Guatemalan,F,19.4,19.4-29.6,29.5,,,175,N,,,,,1.03,0.21,mmol/l,,,2.74,0.67,mmol/l,,1.48,1,mmol/l,,,,,,,,solid-phase enzymatic reactions; Friedewald's equation; solid-phase azidemethaemoglobin method,,
Victoria,GUA2-B,Guatemalan,M,19.4,19.4-29.7,29.5,,,76,N,,,,,0.96,0.23,mmol/l,,,2.66,0.72,mmol/l,,1.4,0.82,mmol/l,,,,,,,,solid-phase enzymatic reactions; Friedewald's equation; solid-phase azidemethaemoglobin method,,
Victoria,GUA2-B,Guatemalan,F,19.4,19.4-29.8,29.5,,,43,N,,,,,1.19,0.39,mmol/l,,,2.84,0.59,mmol/l,,1.13,0.54,mmol/l,,,,,,,,solid-phase enzymatic reactions; Friedewald's equation; solid-phase azidemethaemoglobin method,,
Victoria,GUA2-C,Guatemalan,M,19.4,19.4-29.9,29.5,,,58,N,,,,,0.96,0.16,mmol/l,,,2.64,0.62,mmol/l,,1.17,0.61,mmol/l,,,,,,,,solid-phase enzymatic reactions; Friedewald's equation; solid-phase azidemethaemoglobin method,,
Victoria,GUA2-C,Guatemalan,F,19.4,19.4-29.10,29.5,,,18,N,,,,,1.06,0.23,mmol/l,,,2.43,0.57,mmol/l,,1.05*,0.49,mmol/l,,,,,,,,solid-phase enzymatic reactions; Friedewald's equation; solid-phase azidemethaemoglobin method,,
CB,HAD3,Hadza,M/F,18,18+,,,,64,Y,,,,,34,,mg/dL,,,62,,mg/dL,,,,,,,,,,,,"*Mean was calculated assuming highest possible level for subjects who fell below sensitivity level of the instrument. For example, if total cholesterol was reported as <100 mg dL, subject was assigned a value of 99",,
EM,HAD4-A,Hadza,M,0,0-9,9,,,6,,82.5,,,mg/dL,,,,,,,,,,,,,,,,,,,,Serum cholesterol estimated by the autoanalyser method of Block et al. (1965) as modified by Antonis (1965),,
EM,HAD4-A,Hadza,M,10,19-Oct,19,,,21,,103.1,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,M,20,20-29,29,,,6,,77,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,M,30,30-39,39,,,9,,100.4,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,M,40,40-49,49,,,14,,104.5,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,M,50,,,,,4,,138.3,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,F,0,0-9,9,,,1,,91,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,F,10,19-Oct,19,,,6,,98.3,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,F,20,20-29,29,,,7,,113.6,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,F,30,30-39,39,,,8,,105.3,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,F,40,40-49,49,,,7,,109.9,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-A,Hadza,F,50,,,,,6,,97.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,M,0,0-9,9,,,15,,89.3,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,M,10,19-Oct,19,,,19,,95.6,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,M,20,20-29,29,,,7,,107,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,M,30,30-39,39,,,16,,106.3,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,M,40,40-49,49,,,9,,117.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,M,50,,,,,10,,101.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,F,0,0-9,9,,,9,,105.6,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,F,10,19-Oct,19,,,16,,96.8,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,F,20,20-29,29,,,15,,122.8,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,F,30,30-39,39,,,19,,113.1,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,F,40,40-49,49,,,5,,103.4,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-B,Hadza,F,50,,,,,8,,117.1,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,M,0,0-9,9,,,7,,114.1,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,M,10,19-Oct,19,,,6,,96.2,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,M,20,20-29,29,,,7,,115.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,M,30,30-39,39,,,5,,119.2,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,M,40,40-49,49,,,6,,129.3,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,M,50,,,,,2,,96.5,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,F,0,0-9,9,,,6,,93,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,F,10,19-Oct,19,,,3,,104.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,F,20,20-29,29,,,5,,97.4,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,F,30,30-39,39,,,7,,116.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-C,Hadza,F,50,,,,,3,,114,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,M,0,0-9,9,,,28,,94.1,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,M,10,19-Oct,19,,,46,,98.1,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,M,20,20-29,29,,,20,,101,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,M,30,30-39,39,,,30,,106.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,M,40,40-49,49,,,29,,113.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,M,50,,,,,16,,110.2,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,F,0,0-9,9,,,16,,99.9,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,F,10,19-Oct,19,,,25,,98.1,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,F,20,20-29,29,,,27,,115.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,F,30,30-39,39,,,34,,112,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,F,40,40-49,49,,,12,,107.2,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
EM,HAD4-D,Hadza,F,50,,,,,17,,109.7,,,mg/dL,,,,,,,,,,,,,,,,,,,,,,
KIKI,INN1,Inuit of Nunavik,M/F,18,18-39,39,,,252,N,4.9,0.06,,mmol/L,1.43,0.03,mmol/L,,,2.95,0.05,mmol/L,,1.14,,mmol/L,,,,,,,,,,
KIKI,INN1,Inuit of Nunavik,M/F,40,≥ 40,,,,154,N,5.47,0.07,,mmol/L,1.66,0.04,mmol/L,,,3.29,0.07,mmol/L,,1.2,,mmol/L,,,,,,,,,,
AYANA,INN2,"Inupiat, Inuit",M,45,45+ ,,57.9,9.5,214,N,,,,,57.1,18.1,mg/dL,150.8,mg/dL,126.2,36.2,mg/dL,,111.7,,mg/dL,,,105.2,24.1,mg/dL,,,LDL-C calculated by th Friedwald formula; Fasting,,
AYANA,INN2,"Inupiat, Inuit",F,45,45+,,58.3,10.9,285,N,,,,,68.6,18.9,mg/dL,151.4,mg/dL,124,36.3,mg/dL,,124.3,,mg/dL,,,106.5,22.9,mg/dL,,,LDL-C calculated by th Friedwald formula; Fasting,,
AYANA,INU1-A,Inuit (least westernized),M,,,,48.6,,223,Y,5.85,,,mmol/L,1.62,,mmol/L,,,3.7,,mmol/L,,0.94,,mmol/L,,,,,,,,,,
AYANA,INU1-A,Inuit (least westernized),F,,,,48.6,,223,Y,5.76,,,mmol/L,1.64,,mmol/L,,,3.62,,mmol/L,,0.96,,mmol/L,,,,,,,,,,
AYANA,INU1-B,Inuit (intermediate western),M,,,,43.3,,234,Y,5.95,,,mmol/L,1.46,,mmol/L,,,3.91,,mmol/L,,1.01,,mmol/L,,,,,,,,,,
AYANA,INU1-B,Inuit (intermediate western),F,,,,43.3,,4234,Y,6.06,,,mmol/L,1.56,,mmol/L,,,3.95,,mmol/L,,1.02,,mmol/L,,,,,,,,,,
AYANA,INU1-C,Inuit (most Westerm),M,,,,42.5,,110,Y,5.98,,,mmol/L,1.36,,mg/dL,,,3.94,,mg/dL,,1.14,,mg/dL,,,,,,,,,,
AYANA,INU1-C,Inuit (most Westerm),F,,,,42.5,,110,Y,6.01,,,mmol/L,1.52,,mmol/L,,,3.91,,mmol/L,,1.08,,mmol/L,,,,,,,,,,
Emily,INU10,Greenland Inuit,M/F,18,18-82,82,,,234,N,,,,,,,,,,3.24,,mmol/L,,,,,,,,,,,,,,
Emily,INU11,Greenland Inuit,M,18,18+,,,,653,Y,5.9,1.2,,mmol/L,1.5,0.5,mmol/L,,,,,,,,,,,,,,,,,,,
Emily,INU11,Greenland Inuit,F,18,18+,,,,653,Y,5.9,1.2,,mmol/L,1.6,0.4,mmol/L,,,,,,,,,,,,,,,,,,,
Emily,INU11,Greenland Inuit,M,18,18+,,,,542,Y,,,,,,,,,,3.9,1.1,mmol/L,,,,,,,,,,,,,,
Emily,INU11,Greenland Inuit,F,18,18+,,,,542,Y,,,,,,,,,,3.9,1,mmol/L,,,,,,,,,,,,,,
Emily,INU11,Greenland Inuit,M,18,18+,,,,545,Y,,,,,,,,,,,,,,1.1,0.7,mmol/L,,,,,,,,,,
Emily,INU11,Greenland Inuit,F,18,18+,,,,545,Y,,,,,,,,,,,,,,1.1,0.7,mmol/L,,,,,,,,,,
Victoria,INU13,Inuit,M,18,18+,,45,,1272,N,5.8,,,mmol/L,1.5,,mmol/L,,,3.6,,mmol/L,,1,,mmol/L,,,,,,,,,,
Victoria,INU13,Inuit,F,18,18+,,43,,1161,N,5.8,,,mmol/L,1.7,,mmol/L,,,3.5,,mmol/L,,1,,mmol/L,,,,,,,,,,
EM,INU13-A,Greenland Inuit,F,5.7,5.7-17.1,17.1,11.3,2.1,47,N,,,,,1.37,0.3,mmol/l,,,2.49,0.67,mmol/l,,0.91,0.32,mmol/l,56.6,umol/l,2.5,0.6,umol/l,,,"Roche Modular Analytics modules, Bayer DCA 2000+",,
EM,INU13-A,Greenland Inuit,M,5.7,5.7-17.1,17.1,11.7,2,55,N,,,,,1.51,0.3,mmol/l,,,2.25,0.58,mmol/l,,0.74,0.26,mmol/l,59.6,umol/l,2.3,0.5,umol/l,,,"Roche Modular Analytics modules, Bayer DCA 2000+",,
EM,INU13-B,Greenland Inuit,M,5.7,5.7-17.1,17.1,10.9,3,43,N,,,,,1.39,0.36,mmol/l,,,2.18,0.55,mmol/l,,0.9,0.41,mmol/l,63.3,umol/l,2.5,0.6,umol/l,,,"Roche Modular Analytics modules, Bayer DCA 2000+",,
EM,INU13-B,Greenland Inuit,F,5.7,5.7-17.1,17.1,11.2,2.7,42,N,,,,,1.41,0.3,mmol/l,,,2.15,0.41,mmol/l,,0.84,0.28,mmol/l,65.3,umol/l,2.5,0.4,umol/l,,,"Roche Modular Analytics modules, Bayer DCA 2000+",,
Ashley,INU14,Greenland Inuit,M,,,,56,11,,,,,,,1.42,0.51,mmol/l,,,,,,,1.37,,mmol/L,,,,,,,,,,
Ashley,INU14,Greenland Inuit,F,,,,57,11,,,,,,,1.42,0.47,mmol/l,,,,,,,1.48,,mmol/L,,,,,,,,,,
Claire,INU15-A,Canadian Inuits,M,18,18-79,79,42.6,15,2072,Y,4.92,1.09,,mmol/L,,,,,,,,,,,,,,,,,,,,,,
Claire,INU15-B,Canadian Inuits,F,18,18-79,79,40.9,14.7,2072,Y,4.98,1.1,,mmol/L,,,,,,,,,,,,,,,,,,,,,,
Emily ,INU5,Greenland Inuit,M,,,,47,,376,N,,,,,1.6,,mmol/L,,,3.5,,mmol/L,,0.9,,mmol/L,,,,,,,,"""HDL and triglycerides were measured in serum by automated enzymatic colorimetic methods. LDL cholesterol was calculated with the Friedewald formula""",uses medians instead of means,
Emily ,INU5,Greenland Inuit,F,,,,45,,380,N,,,,,1.7,,mmol/L,,,3.5,,mmol/L,,1,,mmol/L,,,,,,,,"""HDL and triglycerides were measured in serum by automated enzymatic colorimetic methods. LDL cholesterol was calculated with the Friedewald formula""",uses medians instead of means,
Emily,INU6,Greenland Inuit,M/F,18,18-89,89,44,,2278,Y,,,,,1.67,0.55,mmol/L,,,,,,,,,,,,,,,,,"""Triglyceride, total and High Density Lipoprotein (HDL) were measured in serum by an enzymatic colorimetric tests using Hita- chi 917... Low Density Lipoprotein (LDL) was calculated using Friedewald’s formula.""",,
Emily,INU6,Greenland Inuit,M/F,18,18-89,89,44,,2202,Y,,,,,,,,,,,,,,1.18,0.7,mmol/L,,,,,,,,"""Triglyceride, total and High Density Lipoprotein (HDL) were measured in serum by an enzymatic colorimetric tests using Hita- chi 917... Low Density Lipoprotein (LDL) was calculated using Friedewald’s formula.""",,
Emily,INU6,Greenland Inuit,M/F,18,18-89,89,44,,2184,Y,,,,,,,,,,3.65,1.11,mmol/L,,,,,,,,,,,,"""Triglyceride, total and High Density Lipoprotein (HDL) were measured in serum by an enzymatic colorimetric tests using Hita- chi 917... Low Density Lipoprotein (LDL) was calculated using Friedewald’s formula.""",,
Emily,INU7,Nunavik Inuit,M,40,40-74,74,53,1,113,N,5.36,,0.11,mmol/L,1.54,0.04,mmol/L,,,3.25,0.1,mmol/L,,1.27,0.08,mmol/L,,,,,,,,,used standard error instead of standard deviation,
Emily,INU7,Nunavik Inuit,F,40,40-74,74,51.5,0.8,163,N,5.49,,0.08,mmol/L,1.96,0.04,mmol/L,,,2.97,0.07,mmol/L,,1.22,0.06,mmol/L,,,,,,,,,used standard error instead of standard deviation,
Emily,INU8,Greenland Inuit,M,,,,46.7,,456,N,,,,,1.5,,mmol/L,,,3.82,,mmol/L,,0.98,,mmol/L,,,,,,,,"""Lipids were analysed by enzymatic colori- metric tests using a Hitachi 917 with the following kits: total cholesterol: CHOD-PAP, Roche 1491458; HDL: HDL Cholesterol plus, Roche 1930648; Triacylglycol (triglyceride): Triglycerides GPO-PAP, Roche 1730711""",adjusted for age,
Emily,INU8,Greenland Inuit,F,,,,45.3,,589,N,,,,,1.57,,mmol/L,,,3.85,,mmol/L,,1.02,,mmol/L,,,,,,,,"""Lipids were analysed by enzymatic colori- metric tests using a Hitachi 917 with the following kits: total cholesterol: CHOD-PAP, Roche 1491458; HDL: HDL Cholesterol plus, Roche 1930648; Triacylglycol (triglyceride): Triglycerides GPO-PAP, Roche 1730711""",adjusted for age,
Emily,INU9,Greenland Inuit,M,18,18+,,,,117,Y,,,,,1.6,,mmol/L,,,,,,,,,,,,,,,,,"chlolesterol measured by a commercial lab, triglyceride measured by GPO-PAP (Boehringer Mannheim), plasma lipids extracted by chloroform-methanol, fatty acids measured by gas chromatography",,
