BLV,Who,StudyID,Article link,CrudeName,EthnicGroup,EthnicGroup_Notes,Population,Subpopulation,Other_Classification,Location,DPlaceID,DPlaceID_2,DPlaceID_3,DPlaceID_4,DPlaceID_5,Biome,Country,Lattitude,Longitude,Region,PubDate,TimeFrame,EconBase_TOS,ECONNOTES,EconBase_TRAD,Sedentary,AcculturationLevel,Acculturation_quant,AccNotes,DietStaples,SmokingNotes,AlcoholNotes,ReferenceSource,Notes,AdditionalSources
"1,6",EM,AMA4-A,AMA4,Caboclo,Caboclo,,Caboclo,Paricatuba,,"Marajó Island, Pará",,,,,,Tropical Rainforest,Brazil,-10.38,-48.84,South America,1995,,FG,"""traditional subsistence lifestyle... based on açai fruit, slash and burn agriculture, fishing, and occasional small game hunting... majority of activities are family based and subsistence directed""",FG,,unacculturated,1,,,,,"""Subsistence Patterns and Blood Pressure Variation in Two Rural Caboclo Communities of Marajó Island, Pará, Brazil"" Silva et. al",,
"1,6",EM,AMA4-B,AMA4,Caboclo,Caboclo,,Caboclo,Praia Grande,,"Marajó Island, Pará",,,,,,Tropical Rainforest,Brazil,-10.38,-48.84,South America,1995,,W,"""more dependent on cash cropping and the regional market economy... mechanized agriculture for both consumption and sale... Various individuals may also do some fishing and occasional collecting of açai; however, these activities and some animal husbandry play only a minor role in the local economy""",IA,,semi-acculturated,3,,,,,"""Subsistence Patterns and Blood Pressure Variation in Two Rural Caboclo Communities of Marajó Island, Pará, Brazil"" Silva et. al",,
6,Emily,PYG2,PYG2,Pygmies,Pygmies,,Pygmies,,,"Mandima-Zunguluka in the Manbasa area and villages of Epulu, Nduye, and Bandissende",,,,,,,Democratic Republic of the Congo (Zaire),1.812783,28.984334,Africa,1987,,,,,,,,,,,,"Insulin-Like Growth Factors in Pygmies, The Role of Puberty in Determining Final Stature",,
4,Emily,MAAS6,MAAS6-A,Maasai,Maasai,,Maasai,,rural,Ngorongoro Conservation Authority,,,,,,,,,,,,,,,,,,,,,,,Type 2 Diabetes prevalence and Risk Factors of Urban Maasai in Arusha Municipality and Rural Maasai in Ngorongoro Crater,,
4,Emily,MAAS6,MAAS6-B,Maasai,Maasai,,Maasai,,urban,Arusha Region,,,,,,,,,,,,,,,,,,,,,,,Type 2 Diabetes prevalence and Risk Factors of Urban Maasai in Arusha Municipality and Rural Maasai in Ngorongoro Crater,,
1,Ashley,TIR1,TIR1,Tirupati,Tirupati,Urban slum,Tirupati,,,Tirupati,,,,,,Tropical rainforest,Andhra Pradesh,13.6288,79.4192,India,2021,May-June 2003,,,,,acculturated,4,"""Higher prevalence of hypertension was found in business occupation""",8.8% of population consumed a non-vegetarian diet,22.4% of population smoked,20% of population consumed alcohol,"""Prevalence and risk factors of hypertension in adults in an urban slum, Tirupati, A.P."" Reddy, et. al.",,
3,Ashley,SMU2,SMU2,Samburu,Samburu,,Samburu,,"Physically very active, only males considered",Northern Kenya,Aj29,,,,,Savanna,Kenya,-0.0236,37.9062,Africa,1961,,P,Cattle farmers,,Nomadic,unacculturated,1,"""They own cattle, sheep, and goats, and their economy and livelihood are based directly on the products of these herds""",Primarily consume milk and meat,,,"""Plasma-lipids in an African tribe living on a diet of milk and meat"" Shaper, et. al.",,"Biome: https://sites.google.com/a/richland2.org/patrick-orr-kenya/#:~:text=Kenya%20is%20made%20up%20of,amounts%20of%20plants%20and%20animals."
6,Ashley,SHR2-A,SHR2,Sherpa,Sherpa,,Sherpa,High altitude,,Khumbu region,Ee6,,,,,Tundra,Nepal,23.3949,84.124,Asia,1982,1971,,,,High activity level,unacculturated,1,"""Those at high altitude lived in a relatively isolated region of Nepal""",,,,"""Blood pressure at rest and during exercise among Sherpas and Tibetan migrants in Nepal"" Weitz",,"Biome: https://www.nepalspiritualtrekking.com/about-nepal.html#:~:text=Nepal%20has%20Tundra%20vegetation%20in,low%20land%20of%20southern%20part."
6,Ashley,SHR2-B,SHR2,Tibetan,Tibetan,,Tibetan,High altitude,,Khumbu region,Ee4,,,,,Tundra,Nepal,23.3949,84.124,Asia,1982,1971,,,,High activity level,unacculturated,1,"""Those at high altitude lived in a relatively isolated region of Nepal""",,,,"""Blood pressure at rest and during exercise among Sherpas and Tibetan migrants in Nepal"" Weitz",,
6,Ashley,SHR2-C,SHR2,Tibetan,Tibetan,,Tibetan,Low altitude,,Kathmandu,Ee4,,,,,Tropical rainforest,Nepal,27.7172,85.324,Asia,1982,1971,,,,Sedentary,unacculturated,1,"""Tibetan migrants tested at low altitude were all employed as rug weavers in a Tibetan refugee center""",,,,"""Blood pressure at rest and during exercise among Sherpas and Tibetan migrants in Nepal"" Weitz",,
6,Ashley,MBY1,MBY1,,Mbyá-Guaraní,Tupí Guaraní ,Mbyá-Guaraní,,Includes children,"Misiones, Argentina",,,,,,Tropical rainforest,Argentina,-26.9377,-54.4342,South America,2006,,"H, Fg","""the Mbyá remember hunting, fishing, and horticulture as their main activities in the past""",,,acculturated,4,"""increasing recruitment of youngsters and adults as the labor force in the harvest of yerba mate and tobacco... the emergence of new economic alternatives, such as the handicraft trade""",,,,"""Prevalence of Overweight and Obesity Among Guaraní-Mbyá From Misiones, Argentina"" Orden, et. al.",,"Biome: https://www.newworldencyclopedia.org/entry/Atlantic_Forest#:~:text=The%20Atlantic%20Forest%20(Mata%20Atl%C3%A2ntica,as%20far%20as%20Paraguay%20and"
"1,6",Ashley,BAN10-A,BAN10,Bantu,Bantu,Rural,Bantu,,"Typically older, cardiovascular issues increase with age","Kuzi, Zaïre",,,,,,Swamp forest,Democratic Republic of Congo,-4.0383,21.7587,Africa,1987,1983,,,,,,,"""rural Bantu are more used to the practice of traditional rather than modern western medicine""",,,,"""Correlates of Blood Pressure in Rural and Urban Zaïre"" M'Buyamba-Kabangu, et. al. ",Women were more affected by hypertension,Biome: https://nap.nationalacademies.org/read/1985/chapter/17
"1,6",Ashley,BAN10-B,BAN10,Bantu,Bantu,Urban,Bantu,,,Zaïre,,,,,,Swamp forest,Democratic Republic of Congo,-4.0383,21.7587,Africa,1987,1983,,,,,,,,,,,"""Correlates of Blood Pressure in Rural and Urban Zaïre"" M'Buyamba-Kabangu, et. al. ",Men were more affected by hypertension,Biome: https://nap.nationalacademies.org/read/1985/chapter/17
"1,6",Ashley,KRK1,KRK1,New Guinean,,,New Guinean,,Individuals sampled primarily lived in the northern parts of the island,"Karkar Island, Papua New Guinea",,,,,,Tropical rainforest,Papua New Guinea,-4.6493,145.9804,Australia,1978,,,,,,,,,,,,"""Variation in blood pressure in a New Guinea population"" Boyce, et. al.",Correlation of blood pressure with physique found primarily in males,Biome: https://tcktcktck.org/papua-new-guinea/madang/karkar
1,Ashley,KIR1-A,KIR1,,Kiribatese,,Kiribatese,,Includes both rural and urban individuals,"Kiribati, Oceania",,,,,,Tropical rainforest,Kiribati,-3.3704,-168.734,Oceania,1990,,FG,"""residents are subsistence fishermen supplementing the produce of their gardens""",,Both sedentary and nomadic,Semi-Acculturated,2,"""pushed into migrating by the inability of the traditional-mission culture to deliver critical resources to the younger generation""",,20% of the sample never smoked,,"""Stress, migration, and blood pressure in Kiribati"" Lewis et. al.",Entire sample of individuals were classified as undergoing stress,Biome: https://en.wikipedia.org/wiki/Central_Polynesian_tropical_moist_forests
1,Ashley,KIR1-B,KIR1,,Kiribatese,,Kiribatese,Abaiang ,,"Kiribati, Oceania",,,,,,Tropical rainforest,Kiribati,-3.3704,-168.734,Oceania,1990,,FG,"""residents are subsistence fishermen supplementing the produce of their gardens""",,Both sedentary and nomadic,Semi-Acculturated,2,"""pushed into migrating by the inability of the traditional-mission culture to deliver critical resources to the younger generation""",,20% of the sample never smoked,,"""Stress, migration, and blood pressure in Kiribati"" Lewis et. al.",Entire sample of individuals were classified as undergoing stress,Biome: https://en.wikipedia.org/wiki/Central_Polynesian_tropical_moist_forests
1,Ashley,KIR1-C,KIR1,,Kiribatese,,Kiribatese,Marakei ,town and villages only,"Kiribati, Oceania",,,,,,Tropical rainforest,Kiribati,-3.3704,-168.734,Oceania,1990,,FG,"""residents are subsistence fishermen supplementing the produce of their gardens""",,Both sedentary and nomadic,Semi-Acculturated,2,"""pushed into migrating by the inability of the traditional-mission culture to deliver critical resources to the younger generation""",,20% of the sample never smoked,,"""Stress, migration, and blood pressure in Kiribati"" Lewis et. al.",Entire sample of individuals were classified as undergoing stress,Biome: https://en.wikipedia.org/wiki/Central_Polynesian_tropical_moist_forests
"1,3",Ashley,FUL3,FUL3,Fulani,Fulani,Speaks dialects of a Niger-Congo language,Fulani,"Includes nomadic, semi-nomadic, and settled Fulani",,"Kano, Nigeria",Cb8,,,,,Savanna,Nigeria,12.0022,8.592,West Africa,2015,,,,,Semi-nomadic,unacculturated,1,"""the settlements are remote, without basic social amenities and pedominantly inhabited by the semi-nomadic Fulanis""","Low-calorie diet, 20% protein, 50% fat, 30% milk, butter, oil, yogurt, and cheese",2.3% of subjects smoked,0.5% of subjects consumed alcohol,"""Hypertension and other cardiovasculuar risk factors in a semi-nomadic Fulani population in Kano, Nigeria"" Karaye, et. al.",Kano is known to have the highest burden of hypertension and dyslipidemia in the country,Biome: https://en.wikipedia.org/wiki/Kano_(city)#:~:text=Kano%20has%20a%20tropical%20savanna%20climate%20(K%C3%B6ppen%20Aw).
"1,6",Ashley,BAR1-A,BAR1,Baroi,Baroi,,Rural Baroi,"Income from any combination of: food at market, fish, betelnut, logs, cash crops",,Gulf Province of Papua New Guinea,,,,,,Tropical rainforest,Papua New Guinea,-4.6493,145.9804,Australia,1998,,FG,"""Their subsistence economy is based on sago, which is cultivated, and fishing, with the growing of root and tree crops being subsidiary activities""",,,Acculturated,4,"Trading palm sago, increasing modernization in many parts of Papua New Guinea","Sago starch, sweet potato, taro, fish, coconuts, fewer individuals consume crab, prawns, molluscs, fish, green leaves, and bananas",,,"""Hypertension among adults of the Purari delta of the Gulf Province, Papua New Guinea"" Ulijaszek, et. al.",,
"1,6",Ashley,BAR1-B,BAR1,Baroi,Baroi,,Rural Baroi,Income from paid employment or trade store,,Gulf Province of Papua New Guinea,,,,,,Tropical rainforest,Papua New Guinea,-4.6493,145.9804,Australia,1998,,FG,"""Their subsistence economy is based on sago, which is cultivated, and fishing, with the growing of root and tree crops being subsidiary activities""",,,Acculturated,4,"Trading palm sago, increasing modernization in many parts of Papua New Guinea","Sago starch, sweet potato, taro, fish, coconuts, fewer individuals consume crab, prawns, molluscs, fish, green leaves, and bananas",,,"""Hypertension among adults of the Purari delta of the Gulf Province, Papua New Guinea"" Ulijaszek, et. al.",,
"1,6",Ashley,BAR1-C,BAR1,Baroi,Baroi,,Rural Baroi,Income from one-way analysis of variance,,Gulf Province of Papua New Guinea,,,,,,Tropical rainforest,Papua New Guinea,-4.6493,145.9804,Australia,1998,,FG,"""Their subsistence economy is based on sago, which is cultivated, and fishing, with the growing of root and tree crops being subsidiary activities""",,,Acculturated,4,"Trading palm sago, increasing modernization in many parts of Papua New Guinea","Sago starch, sweet potato, taro, fish, coconuts, fewer individuals consume crab, prawns, molluscs, fish, green leaves, and bananas",,,"""Hypertension among adults of the Purari delta of the Gulf Province, Papua New Guinea"" Ulijaszek, et. al.",,
"1,3,4,6",Ashley,TOR1-A,TOR1,Torres Strait,,Melanesian origin,Torres Strait Islander people,,All individuals 15 years or older,Torres Strait Island,,,,,,Savanna,Australia,-10.2199,141.9369,Australia,2005,,,,,,,,,,,,"""The metabolic syndrome and changing relationship between blood pressure and insulin with age, as observed in Aboriginal and Torres Strait Islander peoples"" Schutte, et. al. ",,Biome: https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjzoOjgzcD6AhUIC0QIHR3NBZ4QFnoECAYQAw&url=https%3A%2F%2Fprod-media.coolaustralia.org%2Fwp-content%2Fuploads%2F2013%2F03%2F14130025%2FCoolBurning_HowDoAboriginalAndTorresStraitIslanderPeoplesUseFireToManageCountry.pdf&usg=AOvVaw3RbJePiITyZAXsZ9p_aLXL
"1,3,4,6",Ashley,TOR1-B,TOR1,Aboriginal,,,Aboriginals,,All individuals 15 years or older,Australia,,,,,,Savanna,Australia,-25.2744,133.7751,Australia,2005,,,,,,,,,,,,"""The metabolic syndrome and changing relationship between blood pressure and insulin with age, as observed in Aboriginal and Torres Strait Islander peoples"" Schutte, et. al. ",,Biome: https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjzoOjgzcD6AhUIC0QIHR3NBZ4QFnoECAYQAw&url=https%3A%2F%2Fprod-media.coolaustralia.org%2Fwp-content%2Fuploads%2F2013%2F03%2F14130025%2FCoolBurning_HowDoAboriginalAndTorresStraitIslanderPeoplesUseFireToManageCountry.pdf&usg=AOvVaw3RbJePiITyZAXsZ9p_aLXL
"1,6",Ashley,CPV1-A,CPV1,Cape Verdean Island,Relation to West Africans,,,Island,Rural,Cape Verde Islands,,,,,,Savanna,West Africa,16.5388,-23.0418,West Africa,1968,,,,,,,,,,,,"""Blood pressure in native Cape Verdeans and in Cape Verdean Immigrants and their descendants living in New England"" Florey, et. al.",,
"1,6",Ashley,CPV1-B,CPV1,Cape Verdean New England,Relation to West Africans,,,New England,Urban,New England,,,,,,Temperate forest,United States,43.9654,-70.8227,America,1968,,,,,,Acculturated,4,Urban living,,,,"""Blood pressure in native Cape Verdeans and in Cape Verdean Immigrants and their descendants living in New England"" Florey, et. al.",,
"1,3,4,6",Ashley,LEB1,LEB1,Lebanese,Lebanese,,Lebanese,,Individuals selected from health centers,Lebanon,Cj7,,,,,Woodland,Lebanon,33.8547,35.8623,Middle East,2007,,,,,,Acculturated,4,High urbanization rate: 87%,,,,"""Prevalence and correlates of metabolic syndrome in an adult Lebanese population"" Sibai, et. al.",,"Biome: https://en.wikipedia.org/wiki/List_of_ecoregions_in_Lebanon#:~:text=Lebanon%20is%20in%20the%20Palearctic,%2C%20woodlands%2C%20and%20scrub%20biome."
"1,6",Ashley,NIA3-A,NIA3,Nigerian,Nigerian,"Five major ethnic groups: Fulani, Hausa, Igbo, Yoruba, and Berom",Nigerian,,Urban,Jos,,,,,,Savanna,Nigeria,9.082,8.6753,West Africa,2004,,,,,,,,,"Rich in saturated fats, legumes, beans and groundnuts, eggs, milk, vegetable protein",,,"""Risk Factors for Cardiovascular Disease and Diet of Urban and Rural Dwellers in Northern Nigeria"" Glew, et. al.",,Biome: https://en.wikipedia.org/wiki/Kano_(city)#:~:text=Kano%20has%20a%20tropical%20savanna%20climate%20(K%C3%B6ppen%20Aw).
"1,6",Ashley,NIA3-B,NIA3,Nigerian,Nigerian,"Five major ethnic groups: Fulani, Hausa, Igbo, Yoruba, and Berom",Nigerian,,Rural,Fulani,,,,,,Savanna,Nigeria,9.082,8.6753,West Africa,2004,,,,,Semi-nomadic,,,,"Rich in saturated fats, legumes, beans and groundnuts, eggs, milk, vegetable protein",,,"""Risk Factors for Cardiovascular Disease and Diet of Urban and Rural Dwellers in Northern Nigeria"" Glew, et. al.",,Biome: https://en.wikipedia.org/wiki/Kano_(city)#:~:text=Kano%20has%20a%20tropical%20savanna%20climate%20(K%C3%B6ppen%20Aw).
"1,3,4,6",Ashley,PAR2,PAR2,Parkatêjê Indians,Indian,,Parkatêjê Indians,,,Southeast of the state of Pará in the Amazon Region of Brazil,,,,,,Tropical rainforest,Brazil,-14.235,-51.9253,South America,2003,,,,,Sedentary,Acculturated,4,Bought processed foods from local areas,Mostly processed foods,25.6% smoke,No chronic alcohol use,"""Metabolic profile and cardiovascular risk patterns of an Indian tribe living in the Amazon region of Brazil"" Tavares et. al. ",Recently undergoing rapid changes in lifestyle,Biome: https://en.wikipedia.org/wiki/Amazon_rainforest
"1,3,4,6",Emily,CHIL2-A,CHIL2-A,Pehuenche,Pehuenche,"""Pehuenche consider themselves to be both Pehuenche and Mapuche""",Pehuenche,,,the eastern and western slopes of the Andes Mountains between latitudes ∼37° S and 41° S,,,,,,temperate rainforest,Chile,,,South America,2020,"2016, 2017-2018",FG,"""until 200–300 y ago, the Pehuenche based their subsistence on hunting wild camelids (Lama guanicoe), Andean deer (Hippocamelus bisulcus), rheas (Rhea pennata), among other smaller animals, but mainly on gathering the seeds of the monkey-puzzle tree (Araucaria araucana), which constituted a staple food for this population"" ""their traditional subsistence system the veranada-invernada, are still practiced by the vast majority of the population""",FG,,,,,,3.3% smoke at least 1 cigarette on 1 or more occasions per week,,Nutrition Transition and Health Outcomes Among Indigenous Populations of Chile,,
"1,3,4,6",Emily,CHIL2-B,CHIL2-B,Atacameños,Atacameños,"""also know as Likan-Antai""",Atacameños,,,the high-altitude Atacama Desert oases and ravines of the Loa River between latitudes ∼22°S and 24°S,,,,,,temperate rainfoest,Chile,,,South America,2020,"2016, 2017-2018",W,"""They engaged almost exclusively in subsistence agropastoralism until a few decades ago, and some elders continue to do so"" ""The expansion of tourism and especially the mining industry in this area has incorporated most of the Atacameño population into wage labor""",AP,,,,,,14% smoke at least 1 cigarette on 1 or more occasions per week,,Nutrition Transition and Health Outcomes Among Indigenous Populations of Chile,,
6,Emily,SAB2,SAB2,Sabah,Sabah,,Sabah,,,"Serusop, Penimbawan, Tajau, Kindu, Betutai, and Sambah villages in the Tuaran District of Sabah, Malaysia",,,,,,tropical rainforest,Malaysia,,,Asia,2004,,FG,"""fishing village communities""",,,,,,,,,"Iron status and dietary iron intake of adolescents from a rural community in Sabah, Malaysia",info on biome in additional sources,https://rainforests.mongabay.com/borneo/
"1,6",Emily,AUA14,AUA14,Australian Aboriginal,Australian Aboriginal,,Australian Aboriginal,,,"New South Wales, Australia",,,,,,grasslands,Australia,,,Oceania,2009,,,,,,,,,,,,Cardiovascular risk factors in Australian indigenous and non-indigenous children: A population-based study,"info on biome in additional sources, most prevelant biome listed but multiple biomes present",https://biomesinntandnsw.weebly.com/new-south-wales.html
6,Ashley,SMI4-A,SMI4,Sami,Sami,,,Sami,,,Cg4,SCCS52,,,,Tundra,Norway,60.472,8.4689,Europe,2014,January 2003-April 2004,FG,"""from being hunters, fishermen, or otherwise engaged in subsistence based on maritime""",,Sedentary,Semi-acculturated,3,"""Suggested to come from an acculturation process with a gradual integration of a traditional and modern lifestyle""",,More than 10%,More than 10%,"""Difference in FINDRISC score for predicting type 2 diabetes mellitus among Sami and Non-Sami, the SAMINOR 1 Study"" Siri, et. al.",,
6,Ashley,SMI4-B,SMI4,Non-Sami,Norwegian,Based on questions about language and family background,,Non-Sami,,,,,,,,Tundra,Norway,60.472,8.4689,Europe,2014,January 2003-April 2004,,,,Sedentary,Semi-acculturated,3,"""Suggested to come from an acculturation process with a gradual integration of a traditional and modern lifestyle""",,More than 10%,More than 10%,"""Difference in FINDRISC score for predicting type 2 diabetes mellitus among Sami and Non-Sami, the SAMINOR 1 Study"" Siri, et. al.",,
"1,6",Ashley,KGG1,KGG1,Kaingang,Kaingang,,,,,"Xapecó indigenous land in Santa Catarina State, Brazil",,,,,,Tropical rainforest,Brazil,-14.235,-51.9253,South America,2015,2013,FG,Lifestyle change reflected by the decrease in traditional hunting and fishing,,,Acculturated,4,Monetary economy and paid work,,,,"""Epidemiology of high blood pressure among the Kaingang people on the Xapecó Indigenous Land in Santa Catarina State, Brazil, 2013"" Bresan",,
"1,6",Ashley,BRZ1,BRZ1,Brazilian,Brazilian,,Brazilian,,,"Jaguapiru village, Brazil",Cf4,,,,,Tropical rainforest,Brazil,-14.235,-51.9253,South America,2014,January 2009-July 2011,,,,,,,,,26.2% of males and 13.1% of females smoke,31.1% of males and 8.9% of females consume alcohol,"""Prevalence of Hypertension and Associated Factors in an Indigenous Community of Central Brazil: A Population-Based Study"" Oliveira, et. al.",,
"1,3,4",Ashley,SMI5-A,SMI5,Sami,Sami,,,,,Norway,Cg4,SCCS52,,,,Tundra,Norway,60.472,8.4689,Europe,2018,,FG,male reindeer herders had a lower risk of death from ischaemic heart disease,,,,,,,,,"""Distribution of risk factors for cardiovascular disease and the estimated 10-year risk of acute myocardial infarction or cerebral stroke in Sami and non-Sami populations: The SAMINOR 2 Clinical Survey"" Siri, et. al.",,
"1,3,4",Ashley,SMI5-B,SMI5,non-Sami,Norwegian,,,,,Norway,,,,,,Tundra,Norway,60.472,8.4689,Europe,2018,,FG,male reindeer herders had a lower risk of death from ischaemic heart disease,,,,,,,,,"""Distribution of risk factors for cardiovascular disease and the estimated 10-year risk of acute myocardial infarction or cerebral stroke in Sami and non-Sami populations: The SAMINOR 2 Clinical Survey"" Siri, et. al.",,
6,Ashley,YMAY2,YMAY2,Yucatec Maya,Mayan,,Yucatec Maya,,,"Yucatán, Mexico",Sa6,,,,,Tropical rainforest,Mexico,20.7099,-89.0943,North America,2005,,H,"""who maintain a relatively rigorous lifestyle centred around horticulture""",H,,,,,,,,"""Anthropometric patterns in middle-aged and older rural Yucatec Maya women"" McLorg",,"Biome: https://lacgeo.com/yucatan-moist-forests-ecoregion-mexico#:~:text=The%20Yucat%C3%A1n%20moist%20forests%20are,northern%20Guatemala%20and%20northern%20Belize."
3,Ashley,TARA3,TARA3,Tarahumara Indians,Tarahumara Indians,,Tarahumara Indians,,,"Chihuahua, Mexico",Ni1,,,,,Desert,Mexico,28.633,-106.0691,North America,1982,,,,,,,,,"Beans, tortillas, pinole, corn, vegetables, cereals, and fruits",,,"""Dietary cholesterol and the plasma lipids and lipoproteins in the Tarahumara Indians: a people habituated to a low cholesterol diet after weaning"" McMurry, et. al.",,Biome: https://en.wikipedia.org/wiki/Chihuahuan_Desert
1,Emily,NUB1,NUB1,Nuba,Nuba,"""Nuba is a term used for people who live in Nuba Mountains in the southern part of Sudan, known as South Kordofan State""",Nuba,,,"Al Wihda District, Atbara",,,,,,tropical desert,Sudan,17.706936,34.014013,Africa,2016,,W,"""Nuba ethnic group living in Atbara city"" ""traditional villages practicing subsistence cultivation (reference in additional sources)""",AP,,,,,,,,High prevalence of hypertension among an ethnic group in Sudan: implications for prevention,info on biome in additional sources,"http://www.burundi.climatemps.com/vs/atbara.php ""Agriculture Communal Labor in the Nuba Mountains"" by Abdel Raouf Ahmed"
"1,6",Emily,GHA8,GHA8,"Kassena, Nankana","Kassena, Nankana","""The two main ethnic groups in the population are the Kassena (49%) and the Nankana (46%)""",rural Ghana,,,Kassena-Nankana District of Northern Ghana,Ag12,,,,,savanna,Ghana,10.807228,-1.356052,Africa,2009,,AP,"""The mode of life is traditional with 90% of the inhabitants being small-scale subsistence farmers who depend mostly on the weather for their farming activities""",AP,,,,,,,,Descriptive epidemiology of blood pressure in a rural adult population in Northern Ghana,info on biome in additional sources,https://unesdoc.unesco.org/ark:/48223/pf0000103561
,Emily,TRK2,TRK2,Turks,Turks,,Turks,,,Turkey,,,,,,,Turkey,,,Asia,,,,,,,,,,,,,"Risk of obesity and metabolic syndrome associated with FTO gene variants discloses clinically relevant gender difference
among Turks",,
"1,4",Ashley,CHIL3,CHIL3,Mapuche,Mapuche,"""Mixture of Amerindian native groups and descendants of Asian migrations""",Mapuche,,,Chile,Sg2,SCCS184,,,,Woodland,Chile,-35.6751,-71.543,South America,2001,,W,Traditionally hunter-gatherer population (see additional sources) developing into more sedentary and modernized economy,FG,Sedentary,acculturated,4,"""most aboriginal populations today have a westernized lifestyle""","Western foods (refined carbohydrates, high saturated fat, low dietary fiber)",,,"""Prevalence of Type 2 Diabetes and Obesity in Rural Mapuche Population From Chile"" Pérez-Bravo, et. al.",,http://chileprecolombino.cl/en/pueblos-originarios/mapuche/economia/
1,Ashley,ZUL3-A,ZUL3,Zulu,Zulu,,Zulu,Rural background,,"Durban, South Africa",Ab12,,,,,Tropical rainforest,South America,-29.8587,31.0218,South Africa,1962,October to December 1958,W,"Urbanized, manual occupations",,,acculturated,4,"""the men are mainly employed in manual occupations""","Refined maize, green/yellow vegetables, milk, meat, and fish",,,"""Urbanization and hypertension among Zulu adults"" Gampel, et. al.",,Biome: https://en.wikipedia.org/wiki/KwaZulu%E2%80%93Cape_coastal_forest_mosaic
1,Ashley,ZUL3-B,ZUL3,Zulu,Zulu,,Zulu,Intermediate background,,"Durban, South Africa",Ab12,,,,,Tropical rainforest,South America,-29.8587,31.0218,South Africa,1962,October to December 1958,W,"Urbanized, manual occupations",,,acculturated,4,"""the men are mainly employed in manual occupations""","Refined maize, green/yellow vegetables, milk, meat, and fish",,,"""Urbanization and hypertension among Zulu adults"" Gampel, et. al.",,Biome: https://en.wikipedia.org/wiki/KwaZulu%E2%80%93Cape_coastal_forest_mosaic
1,Ashley,ZUL3-C,ZUL3,Zulu,Zulu,,Zulu,Urban background,,"Durban, South Africa",Ab12,,,,,Tropical rainforest,South America,-29.8587,31.0218,South Africa,1962,October to December 1958,W,"Urbanized, manual occupations",,,acculturated,4,"""the men are mainly employed in manual occupations""","Refined maize, green/yellow vegetables, milk, meat, and fish",,,"""Urbanization and hypertension among Zulu adults"" Gampel, et. al.",,Biome: https://en.wikipedia.org/wiki/KwaZulu%E2%80%93Cape_coastal_forest_mosaic
6,Ashley,SAN3,SAN3,Santal,Santal Tribe,One of the largest tribal communities in India,Santal Tribe,,,"Birbhum District, West Bengal, India",Ef1,SCCS62,,,,Savanna,India,22.9868,87.855,Asia,2010,,W,"""Santals are primarily engaged in agriculture"", see additional sources; ""The vast majority of the subjects were illiterate or semiliterate and very low-wage-earning manual laborers"" ",IA,,unacculturated,1,"""The social system is patriarchal"" underprivileged and undernourished group of people",,,,"""Anthropometric characteristics and undernutrition among adult Santal tribe of Birbhum District, West Bengal, India"" Mukhopadhyay",,Econ base: https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/santal Biome: https://en.wikipedia.org/wiki/Climate_of_West_Bengal
"1,6",Emily,BRA5-A,BRA5-A,Guarani,Guarani,"""The indigenous reserve of Dourados is composed of two villages that are primarily inhabited by ethnic group is Gua- rani and Terena.""",Indigenous Brazilian,,,"indigenous reserve of Dourados, state of Mato Grosso do Sul, Brazil",,,,,,woodland,Brazil,-22.221024,-55.003441,South America,2016,2013,W,"""The area of the reserve accounts for 3539 hectares and its territorial limits are adjacent to urban areas of the municipality; thus, these indigenous groups are greatly affected by the non-indigenous population""",,,,,,,12.2% smoke,11.3% drink alcohol,Total and Abdominal Adiposity and Hypertension in Indigenous Women in Midwest Brazil,"info on biome in additional sources, major biome listed but more biomes present ",https://link.springer.com/article/10.1007/s00477-022-02206-1
"1,6",Emily,BRA5-B,BRA5-B,Terena,Terena,"""The indigenous reserve of Dourados is composed of two villages that are primarily inhabited by ethnic group is Gua- rani and Terena.""",Indigenous Brazilian,,,"indigenous reserve of Dourados, state of Mato Grosso do Sul, Brazil",,,,,,woodland,Brazil,-22.221024,-55.003441,South America,2016,2013,W,"""The area of the reserve accounts for 3539 hectares and its territorial limits are adjacent to urban areas of the municipality; thus, these indigenous groups are greatly affected by the non-indigenous population""",,,,,,,12.2% smoke,11.3% drink alcohol,Total and Abdominal Adiposity and Hypertension in Indigenous Women in Midwest Brazil,"info on biome in additional sources, major biome listed but more biomes present ",https://link.springer.com/article/10.1007/s00477-022-02206-1
"1,6",Ashley,LEB2,LEB2,Lebanese,Lebanese,"45.65% Beirut, 11.22% Mount Lebanon, 14.71% North, 12.9% Bekaa, and 15.41% South",Lebanese,,,"Beirut, Lebanon",,,,,,Woodland,Lebanon,33.8938,35.5018,Middle East,2011,,,,,,,,,,,,"""A survey of blood pressure in Lebanese children and adolescence"" Merhi, et. al.",,"Biome: https://en.wikipedia.org/wiki/List_of_ecoregions_in_Lebanon#:~:text=Lebanon%20is%20in%20the%20Palearctic,%2C%20woodlands%2C%20and%20scrub%20biome."
